,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
32,AWG10_V__720,Unassigned,Unassigned,Unassigned,196_0,Clustered,9,VC_196_0,9,0.2359,1.0,0.2359,1,1,1,1.0
33,AWG10_V__7892,Unassigned,Unassigned,Unassigned,335_0,Clustered,2,VC_335_0,2,0.5068,0.90478487,0.4586,1,1,1,1.0
34,AWG1_V__4033,Unassigned,Unassigned,Unassigned,186_0,Clustered,2,VC_186_0,2,0.1673,0.9462552,0.1583,1,1,1,1.0
35,AWG1_V__4739,Unassigned,Unassigned,Unassigned,393_0,Clustered,4,VC_393_0,4,0.1805,0.99414364,0.1794,1,1,1,1.0
36,AWG1_V__5064,Unassigned,Unassigned,Unassigned,395_0,Clustered,7,VC_395_0,7,0.8539,0.9999378,0.8538,1,1,1,1.0
37,AWG1_V__5793,Unassigned,Unassigned,Unassigned,241_0,Clustered,4,VC_241_0,4,0.2111,0.99929614,0.211,1,1,1,1.0
38,AWG1_V__6078,Unassigned,Unassigned,Unassigned,399_0,Clustered,2,VC_399_0,2,0.0567,0.55315267,0.0314,1,1,1,1.0
39,AWG1_V__7020,Unassigned,Unassigned,Unassigned,364_0,Clustered,8,VC_364_0,8,0.4405,1.0,0.4405,1,1,1,1.0
40,AWG2_V__12,Unassigned,Unassigned,Unassigned,37_1,Clustered/Singleton,1,VC_37_1,1,0.0,1.0,0.0,1,1,1,1.0
41,AWG2_V__1290,Unassigned,Unassigned,Unassigned,172_0,Clustered/Singleton,1,VC_172_0,1,0.0,1.0,0.0,1,1,1,1.0
42,AWG2_V__3793,Unassigned,Unassigned,Unassigned,105_0,Clustered,15,VC_105_0,15,0.2793,1.0,0.2793,1,1,1,0.9714
43,AWG2_V__7020,Unassigned,Unassigned,Unassigned,364_0,Clustered,8,VC_364_0,8,0.4405,1.0,0.4405,1,1,1,1.0
44,AWG3_V__12,Unassigned,Unassigned,Unassigned,403_0,Clustered,2,VC_403_0,2,0.0773,0.71858312,0.0556,1,1,1,1.0
45,AWG5_V__107,Unassigned,Unassigned,Unassigned,36_4,Clustered/Singleton,1,VC_36_4,1,0.0,1.0,0.0,1,1,1,1.0
46,AWG6_V__1960,Unassigned,Unassigned,Unassigned,416_0,Clustered,3,VC_416_0,3,0.1046,0.99845008,0.1045,1,2,2,1.0
47,AWG6_V__2,Unassigned,Unassigned,Unassigned,404_0,Clustered,4,VC_404_0,4,0.2311,0.58901036,0.1361,1,1,1,1.0
48,AYW2_V__1532,Unassigned,Unassigned,Unassigned,173_1,Clustered/Singleton,1,VC_173_1,1,0.0,1.0,0.0,1,1,1,1.0
49,AYW2_V__2,Unassigned,Unassigned,Unassigned,404_0,Clustered,4,VC_404_0,4,0.2311,0.58901036,0.1361,1,1,1,1.0
50,AYW2_V__2904,Unassigned,Unassigned,Unassigned,422_0,Clustered,4,VC_422_0,4,0.1469,0.99998616,0.1469,2,2,2,1.0
51,AZB1_V__12,Unassigned,Unassigned,Unassigned,438_0,Clustered,2,VC_438_0,2,0.753,0.5,0.3765,1,1,1,1.0
52,AZB1_V__1989,Unassigned,Unassigned,Unassigned,224_1,Clustered,2,VC_224_1,2,0.1057,0.95072631,0.1005,1,1,1,1.0
53,AZB1_V__244,Unassigned,Unassigned,Unassigned,440_0,Clustered,2,VC_440_0,2,0.308,0.89435023,0.2755,1,1,1,1.0
54,AZB1_V__25,Unassigned,Unassigned,Unassigned,442_0,Clustered,2,VC_442_0,2,0.0435,0.94944657,0.0413,1,1,1,1.0
55,AZB1_V__293,Unassigned,Unassigned,Unassigned,443_0,Clustered,7,VC_443_0,7,0.6097,0.99999981,0.6097,1,1,1,0.9048
56,AZB1_V__3865,Unassigned,Unassigned,Unassigned,195_0,Clustered,4,VC_195_0,4,0.3154,0.99561592,0.314,1,1,1,1.0
57,AZB1_V__3884,Unassigned,Unassigned,Unassigned,451_0,Clustered,2,VC_451_0,2,0.0695,0.9420679,0.0654,1,1,1,1.0
58,AZB1_V__418,Unassigned,Unassigned,Unassigned,174_0,Clustered,5,VC_174_0,5,0.337,0.99981469,0.3369,1,1,1,1.0
59,AZB1_V__5471,Unassigned,Unassigned,Unassigned,454_0,Clustered,2,VC_454_0,2,0.3253,0.94178001,0.3064,1,1,1,1.0
60,AZB1_V__5614,Unassigned,Unassigned,Unassigned,456_0,Clustered,2,VC_456_0,2,0.7453,0.72985431,0.544,1,1,1,1.0
61,AZB1_V__5709,Unassigned,Unassigned,Unassigned,391_0,Clustered,5,VC_391_0,5,0.6152,0.99836769,0.6141,1,1,1,1.0
62,AZB1_V__5866,Unassigned,Unassigned,Unassigned,439_0,Clustered,2,VC_439_0,2,0.0,1.0,0.0,1,1,1,1.0
63,AZB1_V__5909,Unassigned,Unassigned,Unassigned,317_0,Clustered,2,VC_317_0,2,0.5016,0.94635146,0.4747,1,1,1,1.0
64,AZB1_V__5964,Unassigned,Unassigned,Unassigned,429_0,Clustered,2,VC_429_0,2,0.3489,0.5,0.1745,1,1,1,1.0
65,AZB1_V__6582,Unassigned,Unassigned,Unassigned,444_0,Clustered,2,VC_444_0,2,0.2072,0.94584464,0.196,1,2,2,1.0
66,AZB1_V__843,Unassigned,Unassigned,Unassigned,400_0,Clustered,18,VC_400_0,18,0.7249,1.0,0.7249,1,1,1,1.0
67,AZB2_V__1032,Unassigned,Unassigned,Unassigned,465_0,Clustered,3,VC_465_0,3,0.0984,0.99203761,0.0976,1,1,1,1.0
68,AZB2_V__1047,Unassigned,Unassigned,Unassigned,468_0,Clustered,3,VC_468_0,3,0.7543,0.98211496,0.7408,1,1,1,1.0
69,AZB2_V__1101,Unassigned,Unassigned,Unassigned,469_0,Clustered,3,VC_469_0,3,1.0,0.0,0.0,1,1,1,1.0
70,AZB2_V__1345,Unassigned,Unassigned,Unassigned,471_0,Clustered,2,VC_471_0,2,0.6296,0.72985431,0.4595,1,1,1,1.0
71,AZB2_V__2048,Unassigned,Unassigned,Unassigned,477_0,Clustered,2,VC_477_0,2,0.1926,0.72090768,0.1388,1,1,1,1.0
72,AZB2_V__2229,Unassigned,Unassigned,Unassigned,231_0,Clustered,15,VC_231_0,15,0.5189,1.0,0.5189,1,1,1,1.0
73,AZB2_V__2450,Unassigned,Unassigned,Unassigned,480_0,Clustered,2,VC_480_0,2,0.8107,0.5,0.4054,1,1,1,1.0
74,AZB2_V__25,Unassigned,Unassigned,Unassigned,442_0,Clustered,2,VC_442_0,2,0.0435,0.94944657,0.0413,1,1,1,1.0
75,AZB2_V__2968,Unassigned,Unassigned,Unassigned,503_0,Clustered,2,VC_503_0,2,0.0398,0.5,0.0199,1,1,1,1.0
76,AZB2_V__329,Unassigned,Unassigned,Unassigned,390_0,Clustered,2,VC_390_0,2,0.4132,0.93710679,0.3872,1,1,1,1.0
77,AZB2_V__4036,Unassigned,Unassigned,Unassigned,1478_0,Clustered,2,VC_1478_0,2,0.0246,0.94612813,0.0233,1,1,1,1.0
78,AZB2_V__406,Unassigned,Unassigned,Unassigned,511_0,Clustered/Singleton,1,VC_511_0,1,0.0,1.0,0.0,1,1,1,1.0
79,AZB2_V__418,Unassigned,Unassigned,Unassigned,174_0,Clustered,5,VC_174_0,5,0.337,0.99981469,0.3369,1,1,1,1.0
80,AZB2_V__4190,Unassigned,Unassigned,Unassigned,384_0,Clustered,3,VC_384_0,3,0.3501,0.98198736,0.3438,1,1,1,1.0
81,AZB2_V__4480,Unassigned,Unassigned,Unassigned,518_0,Clustered,2,VC_518_0,2,0.1232,0.81445332,0.1003,1,1,1,1.0
82,AZB2_V__4584,Unassigned,Unassigned,Unassigned,459_0,Clustered,3,VC_459_0,3,0.7125,0.99054823,0.7058,1,1,1,1.0
83,AZB2_V__4627,Unassigned,Unassigned,Unassigned,519_0,Clustered,2,VC_519_0,2,0.17,0.71936208,0.1223,1,1,1,1.0
84,AZB2_V__4900,Unassigned,Unassigned,Unassigned,521_0,Clustered,2,VC_521_0,2,0.1021,0.94750719,0.0968,1,1,1,1.0
85,AZB2_V__5143,Unassigned,Unassigned,Unassigned,524_0,Clustered/Singleton,1,VC_524_0,1,0.0,1.0,0.0,1,1,1,1.0
86,AZB2_V__5178,Unassigned,Unassigned,Unassigned,525_0,Clustered,2,VC_525_0,2,0.2077,0.90478487,0.1879,1,1,1,1.0
87,AZB2_V__5266,Unassigned,Unassigned,Unassigned,455_0,Clustered,2,VC_455_0,2,0.7388,0.5,0.3694,1,1,1,1.0
88,AZB2_V__5437,Unassigned,Unassigned,Unassigned,528_0,Clustered,2,VC_528_0,2,0.3285,0.89435023,0.2938,1,1,1,1.0
89,AZB2_V__5471,Unassigned,Unassigned,Unassigned,454_0,Clustered,2,VC_454_0,2,0.3253,0.94178001,0.3064,1,1,1,1.0
90,AZB2_V__5476,Unassigned,Unassigned,Unassigned,533_0,Clustered,2,VC_533_0,2,0.055,0.66803743,0.0367,1,1,1,1.0
91,AZB2_V__5488,Unassigned,Unassigned,Unassigned,55_10,Clustered/Singleton,1,VC_55_10,1,0.0,1.0,0.0,1,1,1,1.0
92,AZB2_V__5556,Unassigned,Unassigned,Unassigned,544_0,Clustered,2,VC_544_0,2,0.127,0.71936208,0.0913,1,1,1,1.0
93,AZB2_V__5614,Unassigned,Unassigned,Unassigned,456_0,Clustered,2,VC_456_0,2,0.7453,0.72985431,0.544,1,1,1,1.0
94,AZB2_V__5714,Unassigned,Unassigned,Unassigned,48_0,Clustered/Singleton,1,VC_48_0,1,0.0,1.0,0.0,1,1,1,1.0
95,AZB2_V__5866,Unassigned,Unassigned,Unassigned,439_1,Clustered/Singleton,1,VC_439_1,1,0.0,1.0,0.0,1,1,1,1.0
96,AZB2_V__5909,Unassigned,Unassigned,Unassigned,317_0,Clustered,2,VC_317_0,2,0.5016,0.94635146,0.4747,1,1,1,1.0
97,AZB2_V__593,Unassigned,Unassigned,Unassigned,561_0,Clustered,3,VC_561_0,3,0.5971,0.95931944,0.5728,1,1,1,1.0
98,AZB2_V__5964,Unassigned,Unassigned,Unassigned,429_0,Clustered,2,VC_429_0,2,0.3489,0.5,0.1745,1,1,1,1.0
99,AZB2_V__6039,Unassigned,Unassigned,Unassigned,566_0,Clustered,2,VC_566_0,2,0.5454,0.5,0.2727,1,1,1,1.0
100,AZB2_V__6056,Unassigned,Unassigned,Unassigned,567_0,Clustered,2,VC_567_0,2,0.2626,0.6381632,0.1676,1,1,1,1.0
101,AZB2_V__6100,Unassigned,Unassigned,Unassigned,572_0,Clustered,3,VC_572_0,3,0.9097,0.72985431,0.6639,1,1,1,1.0
102,AZB2_V__6121,Unassigned,Unassigned,Unassigned,574_0,Clustered,2,VC_574_0,2,1.0,1.0,1.0,1,1,1,1.0
103,AZB2_V__6274,Unassigned,Unassigned,Unassigned,480_0,Clustered,2,VC_480_0,2,0.8107,0.5,0.4054,1,1,1,1.0
104,AZB2_V__6291,Unassigned,Unassigned,Unassigned,577_0,Clustered,3,VC_577_0,3,1.0,0.0,0.0,1,1,1,1.0
105,AZB2_V__6314,Unassigned,Unassigned,Unassigned,578_0,Clustered,2,VC_578_0,2,0.5487,0.72985431,0.4005,1,1,1,1.0
106,AZB2_V__6435,Unassigned,Unassigned,Unassigned,11_0,Clustered,7,VC_11_0,7,0.1257,0.98808722,0.1242,1,1,1,1.0
107,AZB2_V__6451,Unassigned,Unassigned,Unassigned,99_0,Clustered,24,VC_99_0,24,0.4493,1.0,0.4493,1,3,2,0.9493
108,AZB2_V__6485,Unassigned,Unassigned,Unassigned,581_0,Clustered,2,VC_581_0,2,0.1467,0.72985431,0.1071,1,1,1,1.0
109,AZB2_V__6627,Unassigned,Unassigned,Unassigned,582_0,Clustered,2,VC_582_0,2,0.0372,0.86169897,0.032,1,1,1,1.0
110,AZB2_V__6674,Unassigned,Unassigned,Unassigned,83_0,Clustered,13,VC_83_0,13,0.2792,1.0,0.2792,1,1,1,0.8333
111,AZB2_V__682,Unassigned,Unassigned,Unassigned,223_0,Clustered,6,VC_223_0,6,0.5111,0.99999999,0.5111,1,1,1,1.0
112,AZB2_V__7121,Unassigned,Unassigned,Unassigned,591_0,Clustered,4,VC_591_0,4,0.721,0.89563743,0.6458,1,1,1,1.0
113,AZB2_V__7300,Unassigned,Unassigned,Unassigned,192_0,Clustered,5,VC_192_0,5,0.5457,0.99997805,0.5457,1,1,1,1.0
114,AZB2_V__8196,Unassigned,Unassigned,Unassigned,593_0,Clustered,2,VC_593_0,2,1.0,1.0,1.0,1,1,1,1.0
115,AZB2_V__843,Unassigned,Unassigned,Unassigned,400_0,Clustered,18,VC_400_0,18,0.7249,1.0,0.7249,1,1,1,1.0
116,AZB2_V__8977,Unassigned,Unassigned,Unassigned,597_0,Clustered,2,VC_597_0,2,0.198,0.87671706,0.1736,1,1,1,1.0
117,AZB2_V__9465,Unassigned,Unassigned,Unassigned,599_0,Clustered,2,VC_599_0,2,1.0,1.0,1.0,1,1,1,1.0
118,AZB2_V__9675,Unassigned,Unassigned,Unassigned,602_0,Clustered,2,VC_602_0,2,1.0,1.0,1.0,1,1,1,1.0
119,AZB2_V__9850,Unassigned,Unassigned,Unassigned,603_0,Clustered,3,VC_603_0,3,0.4816,0.99423001,0.4788,1,1,1,1.0
120,AZB4_V__1386,Unassigned,Unassigned,Unassigned,604_0,Clustered,8,VC_604_0,8,0.6366,1.0,0.6366,1,1,1,1.0
121,AZB4_V__250,Unassigned,Unassigned,Unassigned,613_0,Clustered,12,VC_613_0,12,0.4545,0.99999719,0.4545,1,1,1,1.0
122,AZB4_V__4308,Unassigned,Unassigned,Unassigned,224_2,Clustered/Singleton,1,VC_224_2,1,0.0,1.0,0.0,1,1,1,1.0
123,AZB4_V__6466,Unassigned,Unassigned,Unassigned,615_0,Clustered,2,VC_615_0,2,0.9289,0.85557782,0.7948,1,1,1,1.0
124,AZB4_V__6510,Unassigned,Unassigned,Unassigned,616_0,Clustered,2,VC_616_0,2,0.9126,0.5,0.4563,1,1,1,1.0
125,AZB4_V__682,Unassigned,Unassigned,Unassigned,223_0,Clustered,6,VC_223_0,6,0.5111,0.99999999,0.5111,1,1,1,1.0
126,AZC1_V__162,Unassigned,Unassigned,Unassigned,334_1,Clustered,10,VC_334_1,10,0.3216,1.0,0.3216,1,1,1,1.0
127,AZC1_V__2,Unassigned,Unassigned,Unassigned,39_0,Clustered/Singleton,1,VC_39_0,1,0.0,1.0,0.0,1,1,1,1.0
128,AZC1_V__3947,Unassigned,Unassigned,Unassigned,623_0,Clustered,4,VC_623_0,4,0.2164,0.99924403,0.2163,1,1,1,1.0
129,AZC3_V__1054,Unassigned,Unassigned,Unassigned,637_0,Clustered,2,VC_637_0,2,1.0,1.0,1.0,1,1,1,1.0
130,AZC3_V__3511,Unassigned,Unassigned,Unassigned,393_0,Clustered,4,VC_393_0,4,0.1805,0.99414364,0.1794,1,1,1,1.0
131,AZC3_V__4485,Unassigned,Unassigned,Unassigned,640_0,Clustered,2,VC_640_0,2,1.0,1.0,1.0,1,1,1,1.0
132,AZC3_V__5430,Unassigned,Unassigned,Unassigned,127_0,Clustered,3,VC_127_0,3,0.2276,0.97765734,0.2225,1,1,1,1.0
133,AZC3_V__5467,Unassigned,Unassigned,Unassigned,642_0,Clustered,2,VC_642_0,2,0.1561,0.81445332,0.1271,1,1,1,1.0
134,AZC3_V__5554,Unassigned,Unassigned,Unassigned,648_0,Clustered,3,VC_648_0,3,1.0,1.0,1.0,1,1,1,1.0
135,AZC3_V__5617,Unassigned,Unassigned,Unassigned,657_0,Clustered,3,VC_657_0,3,1.0,1.0,1.0,1,1,1,1.0
136,AZC3_V__5655,Unassigned,Unassigned,Unassigned,661_0,Clustered/Singleton,1,VC_661_0,1,0.0,1.0,0.0,1,1,1,1.0
137,AZC3_V__597,Unassigned,Unassigned,Unassigned,669_0,Clustered,2,VC_669_0,2,0.0927,0.56281647,0.0522,1,1,1,1.0
138,AZC3_V__5973,Unassigned,Unassigned,Unassigned,670_0,Clustered,3,VC_670_0,3,0.8897,0.92554266,0.8235,1,1,1,1.0
139,AZC3_V__5981,Unassigned,Unassigned,Unassigned,671_0,Clustered,6,VC_671_0,6,0.6027,0.99993922,0.6026,1,1,1,1.0
140,AZC3_V__6044,Unassigned,Unassigned,Unassigned,672_0,Clustered,2,VC_672_0,2,0.2412,0.91877225,0.2216,1,1,1,1.0
141,AZC3_V__6062,Unassigned,Unassigned,Unassigned,641_0,Clustered,3,VC_641_0,3,0.1393,0.9907477,0.138,1,1,1,0.6667
142,AZC3_V__6136,Unassigned,Unassigned,Unassigned,675_0,Clustered,3,VC_675_0,3,0.7429,0.5,0.3715,1,1,1,1.0
143,AZC3_V__6199,Unassigned,Unassigned,Unassigned,677_0,Clustered,4,VC_677_0,4,0.848,0.97408504,0.826,1,1,1,1.0
144,AZC3_V__6340,Unassigned,Unassigned,Unassigned,649_0,Clustered,17,VC_649_0,17,0.5497,1.0,0.5497,1,1,1,1.0
145,AZC3_V__6359,Unassigned,Unassigned,Unassigned,680_0,Clustered,4,VC_680_0,4,1.0,1.0,1.0,1,1,1,1.0
146,AZC3_V__7278,Unassigned,Unassigned,Unassigned,271_0,Clustered,5,VC_271_0,5,0.2971,0.95089504,0.2825,1,1,1,1.0
147,AZC3_V__7305,Unassigned,Unassigned,Unassigned,683_0,Clustered,4,VC_683_0,4,0.5857,0.9450903,0.5535,1,1,1,1.0
148,AZC3_V__7709,Unassigned,Unassigned,Unassigned,644_0,Clustered,5,VC_644_0,5,0.4134,0.99042634,0.4094,1,1,1,1.0
149,AZC3_V__7786,Unassigned,Unassigned,Unassigned,686_0,Clustered,2,VC_686_0,2,0.4215,0.72985431,0.3077,1,1,1,1.0
150,AZC5_V__1780,Unassigned,Unassigned,Unassigned,207_0,Clustered,22,VC_207_0,22,0.4255,1.0,0.4255,2,2,2,0.8009
151,AZC5_V__2234,Unassigned,Unassigned,Unassigned,210_0,Clustered,14,VC_210_0,14,0.2373,1.0,0.2373,1,2,2,0.8901
152,AZC5_V__3747,Unassigned,Unassigned,Unassigned,93_0,Clustered,15,VC_93_0,15,0.338,1.0,0.338,1,1,1,0.9524
153,AZC5_V__5625,Unassigned,Unassigned,Unassigned,27_3,Clustered/Singleton,1,VC_27_3,1,0.0,1.0,0.0,1,1,1,1.0
154,AZC5_V__597,Unassigned,Unassigned,Unassigned,116_1,Clustered/Singleton,1,VC_116_1,1,0.0,1.0,0.0,1,1,1,1.0
155,AZC5_V__85,Unassigned,Unassigned,Unassigned,604_0,Clustered,8,VC_604_0,8,0.6366,1.0,0.6366,1,1,1,1.0
156,AZE2_V__1171,Unassigned,Unassigned,Unassigned,27_1,Clustered,18,VC_27_1,18,0.2996,1.0,0.2996,1,1,1,0.8497
157,AZE2_V__1995,Unassigned,Unassigned,Unassigned,716_0,Clustered,2,VC_716_0,2,0.3077,0.6381632,0.1963,1,1,1,1.0
158,AZE2_V__202,Unassigned,Unassigned,Unassigned,27_4,Clustered/Singleton,1,VC_27_4,1,0.0,1.0,0.0,1,1,1,1.0
159,AZE2_V__2272,Unassigned,Unassigned,Unassigned,719_0,Clustered,3,VC_719_0,3,0.1898,0.97063546,0.1842,1,1,1,1.0
160,AZE2_V__2415,Unassigned,Unassigned,Unassigned,117_9,Clustered/Singleton,1,VC_117_9,1,0.0,1.0,0.0,1,1,1,1.0
161,AZE2_V__293,Unassigned,Unassigned,Unassigned,731_0,Clustered,2,VC_731_0,2,0.2594,0.5,0.1297,1,1,1,1.0
162,AZE2_V__3063,Unassigned,Unassigned,Unassigned,732_0,Clustered,2,VC_732_0,2,0.2485,0.93865445,0.2333,1,1,1,1.0
163,AZE2_V__3085,Unassigned,Unassigned,Unassigned,229_0,Clustered,6,VC_229_0,6,0.5543,1.0,0.5543,1,1,1,1.0
164,AZE2_V__317,Unassigned,Unassigned,Unassigned,611_0,Clustered/Singleton,1,VC_611_0,1,0.0,1.0,0.0,1,1,1,1.0
165,AZE2_V__37,Unassigned,Unassigned,Unassigned,520_3,Clustered/Singleton,1,VC_520_3,1,0.0,1.0,0.0,1,1,1,1.0
166,AZE2_V__379,Unassigned,Unassigned,Unassigned,231_0,Clustered,15,VC_231_0,15,0.5189,1.0,0.5189,1,1,1,1.0
167,AZE2_V__3838,Unassigned,Unassigned,Unassigned,191_0,Clustered/Singleton,1,VC_191_0,1,0.0,1.0,0.0,1,1,1,1.0
168,AZE2_V__3895,Unassigned,Unassigned,Unassigned,737_0,Clustered,2,VC_737_0,2,0.112,0.5,0.056,1,1,1,1.0
169,AZE2_V__3918,Unassigned,Unassigned,Unassigned,602_0,Clustered,2,VC_602_0,2,1.0,1.0,1.0,1,1,1,1.0
170,AZE2_V__41,Unassigned,Unassigned,Unassigned,87_0,Clustered,3,VC_87_0,3,0.4725,0.99808052,0.4716,1,1,1,1.0
171,AZE2_V__4592,Unassigned,Unassigned,Unassigned,531_0,Clustered,5,VC_531_0,5,0.5416,0.99979763,0.5415,1,1,1,1.0
172,AZE2_V__4690,Unassigned,Unassigned,Unassigned,325_0,Clustered,2,VC_325_0,2,0.0844,0.94942634,0.0802,1,1,1,1.0
173,AZE2_V__5062,Unassigned,Unassigned,Unassigned,186_4,Clustered/Singleton,1,VC_186_4,1,0.0,1.0,0.0,1,1,1,1.0
174,AZE2_V__5486,Unassigned,Unassigned,Unassigned,271_0,Clustered,5,VC_271_0,5,0.2971,0.95089504,0.2825,1,1,1,1.0
175,AZE2_V__5527,Unassigned,Unassigned,Unassigned,752_0,Clustered,4,VC_752_0,4,0.8507,0.9355158,0.7958,1,1,1,1.0
176,AZE2_V__5779,Unassigned,Unassigned,Unassigned,241_4,Clustered/Singleton,1,VC_241_4,1,0.0,1.0,0.0,1,1,1,1.0
177,AZE2_V__6257,Unassigned,Unassigned,Unassigned,757_0,Clustered,2,VC_757_0,2,1.0,1.0,1.0,1,1,1,1.0
178,AZE2_V__6754,Unassigned,Unassigned,Unassigned,55_7,Clustered/Singleton,1,VC_55_7,1,0.0,1.0,0.0,1,1,1,1.0
179,AZE2_V__6783,Unassigned,Unassigned,Unassigned,93_0,Clustered,15,VC_93_0,15,0.338,1.0,0.338,1,1,1,0.9524
180,AZE2_V__8066,Unassigned,Unassigned,Unassigned,647_0,Clustered,2,VC_647_0,2,0.4446,0.72985431,0.3245,1,1,1,1.0
181,AZE2_V__818,Unassigned,Unassigned,Unassigned,256_0,Clustered,3,VC_256_0,3,0.5934,0.97616095,0.5792,1,1,1,1.0
182,AZE2_V__93,Unassigned,Unassigned,Unassigned,117_3,Clustered/Singleton,1,VC_117_3,1,0.0,1.0,0.0,1,1,1,1.0
