contig_id	length	taxa_priority	taxid	Superkingdom	Phylum	Class	Order	Family	Genus	Species
BAM1_V__9247	23426	1	198542	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unknown	unknown	Streptococcus phage 315.5
G01M_8520_V__2593	23840	1	198542	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unknown	unknown	Streptococcus phage 315.5
G18F_V2__2655	24547	1	1273713	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus AB3
G21F_7876_V1__6832	25265	1	198542	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unknown	unknown	Streptococcus phage 315.5
G23J7927V1__1361	25765	1	1262533	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Lactococcus virus 340
BAJ2_V__699	25772	1	388452	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Chopinvirus	Lactococcus virus KSY1
G21F_7876_V1__10238	26044	1	1500713	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Vibrio phage X29
G01M_8520_V__1416	26269	1	1675317	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Erysipelothrix phage SE-1
G21F_7876_V1__1839	27005	1	1500713	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Vibrio phage X29
G03J_7869_V4__1303	28866	1	1262533	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Lactococcus virus 340
G01M_8337_V__8005	28938	1	1567453	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactobacillus phage LfeSau
BAH1_V__7960	29290	1	1262533	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Lactococcus virus 340
G23J_7937V__6771	29804	1	1262533	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Lactococcus virus 340
G21F_7947_V5__6076	30522	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
G21F_7878_V2__6305	30534	1	1262533	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Lactococcus virus 340
BBD0_V__3650	30766	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
G01M_8197_V__8212	31425	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
BAH1_V__2372	31575	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
G23J_8064V__788	31818	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
G01M_8653_V__7825	31928	1	198542	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unknown	unknown	Streptococcus phage 315.5
BAX2_V__7484	32170	1	198542	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unknown	unknown	Streptococcus phage 315.5
AZB2_V__6451	32360	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
BBN3_V__9550	33212	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
G01M_8197_V__1275	33781	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
MixSK11_V6__964	34082	1	1815511	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Pleeduovirus	Lactobacillus virus PLE2
G01M_8768_V__6293	34242	1	279530	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Burkholderia phage BcepB1A
BBN3_V__8159	34383	1	1262533	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Lactococcus virus 340
G01M_8519_V__1466	34451	1	1500713	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Vibrio phage X29
G03J_7869_V4__1132	34557	1	1392231	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Streptococcus phage 20617
G23J_8067V__7204	34560	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
G01M_8393_V__268	34655	1	1392231	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Streptococcus phage 20617
BBD1_V__10235	34847	1	1392231	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Streptococcus phage 20617
G01M_8340_V__4377	34969	1	1837862	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Weissella phage WCP30
BAX2_V__4112	35209	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
BAF8_V__360	35309	1	1815511	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Pleeduovirus	Lactobacillus virus PLE2
AZV1_V__6988	35518	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
BBD0_V__6939	35680	1	1262533	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Lactococcus virus 340
BBF6_V__3878	35737	1	413066	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Streptococcus phage SMP
G01M_8418_V__7923	36348	1	198542	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unknown	unknown	Streptococcus phage 315.5
G03J_7944_V3__3699	36850	1	52979	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactobacillus phage phig1e
MixSK5_V5__8692	37485	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
G23J7927V1__3914	37542	1	1283077	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Pelagibacter phage HTVC010P
G23J_7937V__5480	37547	1	52979	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactobacillus phage phig1e
G23J_8067V__2332	38024	1	52979	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactobacillus phage phig1e
AZC5_V__2234	38312	1	1500713	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Vibrio phage X29
G18F_V9__3615	38407	1	1262533	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Lactococcus virus 340
G01M_8755_V__6270	38498	1	1262533	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Lactococcus virus 340
BBN3_V__1416	38628	1	1675317	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Erysipelothrix phage SE-1
G23J_8060V__591	38787	1	198542	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unknown	unknown	Streptococcus phage 315.5
G21F_7881_V3__340	38804	1	1090133	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Lederbergvirus	Enterobacteria phage IME10
G01M_8337_V__3882	38898	1	146269	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Lacnuvirus	Lactobacillus virus LcNu
G01M_8340_V__3882	38898	1	146269	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Lacnuvirus	Lactobacillus virus LcNu
G23J_8066V__210	39722	1	1567453	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactobacillus phage LfeSau
G03J_7875_V2__1787	39877	1	1455075	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Kayfunavirus	Citrobacter virus CR44b
G01M_8349_V__2741	40156	1	1090133	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Lederbergvirus	Enterobacteria phage IME10
G01M_8519_V__6457	40394	1	1864623	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Uetakevirus	Enterobacter phage Tyrion
BAH14_V__1342	40430	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
BAX2_V__5091	40621	1	1500713	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Vibrio phage X29
G21F_7947_V5__213	40824	1	1864623	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Uetakevirus	Enterobacter phage Tyrion
G01M_8653_V__5623	40895	1	10680	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unknown	unknown	Enterobacteria phage P4
AZC5_V__1780	41277	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
G23J_7936V__716	41326	1	1701257	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Cornellvirus	Enterobacter phage phiEap-2
G18F_V6__2655	41444	1	1273713	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus AB3
MixSK5_V5__1079	41457	1	1862958	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Ceduovirus	Lactococcus virus D4410
G18F_V2__2496	42020	1	1486428	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Enterococcus phage EFC-1
G23J_7943V__343	42211	1	627087	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Enterococcus phage EFAP-1
G18F_V12__2426	42507	1	1147043	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Staphylococcus phage StB20
BCL6_V__8536	44173	1	764562	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Brochothrix phage BL3
G01M_8768_V__6974	45145	1	198539	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Streptococcus phage 315.2
G23J_8064V__6853	45255	1	755164	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Anamdongvirus	Lactobacillus virus LBR48
G01M_8337_V__697	45493	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
G03J_7879_V5__1517	46070	1	unknown	Viruses	unknown	unknown	Caudovirales	Podoviridae	unknown	Acinetobacter phage Bphi-B1251
AWG6_V__1960	46567	1	925984	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Erwinia phage phiEt88
BBF1_V__2169	46578	1	1500713	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Vibrio phage X29
G01M_8337_V__1132	47409	1	1862958	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Ceduovirus	Lactococcus virus D4410
BAJ6_V__1921	47809	1	1500713	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Vibrio phage X29
AYW2_V__2904	48421	1	unknown	Viruses	unknown	unknown	Caudovirales	Siphoviridae	Lambdavirus	Enterobacteria phage HK629
AZJ10_V__8579	49840	1	1540096	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Drexlerviridae	Tlsvirus	Citrobacter virus Stevie
G01M_8520_V__5045	50344	1	1500713	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Vibrio phage X29
BAC7_V__1407	50403	1	1500713	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Vibrio phage X29
BBD0_V__10069	51116	1	1500713	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Vibrio phage X29
AZP1_V__224	51441	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
BBD6_V__3557	51563	1	unknown	Viruses	unknown	unknown	Caudovirales	Myoviridae	unknown	Enterobacteria phage phiEcoM-GJ1
G01M_8519_V__6182	54304	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
MixRN7_V4__3766	54645	1	1392231	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Streptococcus phage 20617
G01M_8399_V__731	55032	1	641487	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Teubervirus	Lactococcus virus P087
G18F_V18__9433	59736	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
G23J_7937V__1218	60380	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
BAX2_V__2121	60815	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
G21F_7876_V1__502	61023	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
G01M_8068_V__7737	61148	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
G01M_8068_V__6096	61163	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
G01M_8349_V__203	61615	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
G03J_7869_V4__5947	62033	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
MixMB4_V11__1224	62578	1	1262533	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Lactococcus virus 340
BBN1_V__203	62775	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
G01M_8340_V__161	63161	1	279530	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Burkholderia phage BcepB1A
BAY6_V__6163	65049	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
G01M_8653_V__592	66126	1	1161930	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Limdunavirus	Leuconostoc virus Lmd1
G18F_V14__7855	66778	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
G21F_7878_V2__2038	68558	1	557289	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Burkholderia phage KS10
BAO5_V__2496	76171	1	1486428	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Enterococcus phage EFC-1
BAM2_V__2072	79334	1	10678	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Punavirus	Escherichia virus P1
G18F_V11__3130	83726	1	1262533	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Lactococcus virus 340
G18F_V14__7301	84096	1	1796997	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Mudcatvirus	Arthrobacter virus Mudcat
G23J_7924V__6918	84634	1	1136534	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Becedseptimavirus	Bacillus virus BCD7
AZB1_V__6582	86935	1	151534	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage bIL311
G03J_7869_V4__1679	87878	1	1675603	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Mooglevirus	Citrobacter phage Michonne
AZO9_V__1725	107417	1	1177632	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Salmonella phage SSU5
G18F_V6__4243	168004	1	unknown	Viruses	unknown	unknown	Caudovirales	Myoviridae	T4virus	Enterobacteria phage RB14
G03J_7875_V2__489	190226	1	1401669	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Iapetusvirus	Erwinia virus EaH1
G03J_7875_V2__2049	234496	1	1883373	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Machinavirus	Erwinia phage vB_EamM_Huxley
BAW4_V__6892	2524	2	10239	Viruses	unknown	unknown	unknown	unknown	unknown	unknown
G21F_7878_V2__6022	2543	2	2675447	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	unknown	Podoviridae sp. ctfa10
BAW0_V__5928	2576	2	1986031	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	unknown	Human gut gokushovirus
BAW0_V__987	2596	2	10841	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	unknown	unknown
G01M_8197_V__10266	2668	2	10699	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	unknown
G01M_8873_V__793	2675	2	687329	Viruses	unknown	unknown	unknown	Anelloviridae	unknown	unknown
BBD1_V__7883	2800	2	1718158	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Enterococcus phage IME-EFm5
AZV1_V__9195	2813	2	1623305	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	unknown
G01M_8653_V__9991	2961	2	1623305	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	unknown
BCL5_V__4857	3189	2	10699	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	unknown
G21F_7876_V1__6421	3306	2	10239	Viruses	unknown	unknown	unknown	unknown	unknown	unknown
G03J_7869_V4__4032	3371	2	2733161	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Lidleunavirus	unknown
G23J_7943V__3289	3410	2	2772066	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	unknown	crAssphage cr10_1
G01M_8340_V__3050	3958	2	1400796	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Oshimavirus	Thermus phage phiFa
AZS0_V__9251	4269	2	2772066	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	unknown	crAssphage cr10_1
G01M_8340_V__9378	4289	2	2560065	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	unknown	unknown
AZB2_V__7300	4730	2	10841	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	unknown	unknown
BAD2_V__8275	4749	2	2772080	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	unknown	crAssphage cr53_1
BAX6_V__1912	4830	2	2202559	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	unknown	Microvirus sp.
BBD0_V__1702	5058	2	10744	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	unknown	unknown
MixMS20_V8__2380	5221	2	1891763	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Human polyomavirus 2
AZB2_V__1400	5277	2	2202564	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Myoviridae sp.
BBN1_V__8093	5400	2	1758150	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	unknown	Gokushovirus WZ-2015a
BAX1_V__4022	5454	2	10841	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	unknown	unknown
BAX2_V__2958	5525	2	2202644	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	unknown	Microviridae sp.
G01M_8519_V__9591	5756	2	10841	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	unknown	unknown
G23J_7936V__7976	6061	2	2583114	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	unknown	Tortoise microvirus 13
G23J_7936V__8235	6061	2	10841	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	unknown	unknown
AWG1_V__10032	6327	2	10699	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	unknown
G23J_8067V__2488	6633	2	1955560	Viruses	unknown	unknown	unknown	unknown	unknown	Phage DP-2017a
BAF7_V__9913	7313	2	151340	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	unknown	unknown
G01M_8873_V__6572	7591	2	2100421	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unknown	unknown	uncultured Caudovirales phage
MixSR5_V9__2821	8225	2	2497940	Viruses	Kitrinoviricota	Alsuviricetes	Tymovirales	Betaflexiviridae	unknown	Garlic yellow mosaic-associated virus
G23J_8060V__2063	10332	2	2733128	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Saclayvirus	unknown
G01M_8519_V__914	12227	2	10239	Viruses	unknown	unknown	unknown	unknown	unknown	unknown
BAD2_V__1553	17936	2	10239	Viruses	unknown	unknown	unknown	unknown	unknown	unknown
G01M_8190_V__311	20569	2	10744	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	unknown	unknown
BBD1_V__2956	21671	2	10699	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	unknown
MixSR5_V9__223	29279	2	140568	Viruses	Kitrinoviricota	Alsuviricetes	Tymovirales	Alphaflexiviridae	Allexivirus	unknown
G23J_8060V__267	43305	2	2733128	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Saclayvirus	unknown
BAL2_V__2427	58109	2	10744	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	unknown	unknown
BBF1_V__7901	67193	2	10509	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	unknown
G21F_7876_V1__88	77027	2	10239	Viruses	unknown	unknown	unknown	unknown	unknown	unknown
AZB4_V__682	85938	2	10744	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	unknown	unknown
G23J_8064V__2273	89738	2	2772061	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	unknown	crAssphage cr107_1
G23J_7936V__3518	92710	2	2772074	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	unknown	crAssphage cr85_1
AZB4_V__4308	94987	2	10744	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	unknown	unknown
BAD1_V__3901	96352	2	10744	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	unknown	unknown
G23J7928V2__9183	99348	2	10239	Viruses	unknown	unknown	unknown	unknown	unknown	unknown
G21F_7876_V1__881	101226	2	10744	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	unknown	unknown
